"review_id","repository_id","repository_owner","repository_name","language","repository_creation_date","repository_update_date","pull_request_id","pull_request_title","pull_request_body","pull_request_state","pull_request_locked","pull_request_creation_date","pull_request_update_date","pull_request_close_date","pull_request_merged","pull_request_mergeable","pull_request_comments","pull_request_reviews","pull_request_review_comments","pull_request_commits","pull_request_additions","pull_request_deletions","pull_request_changed_files","review_state","review_body","reviewer_login"
849535,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86038634,"add lighthouse security docs","","closed",false,"2016-09-20T19:15:36.000Z","2017-01-12T22:13:13.000Z","2016-10-04T18:48:59.000Z",true,false,3,4,6,1,87,0,2,"APPROVED","","jpmedley"
1011213,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86213933,"[lighthouse] add doc for progressive enhancement audit","@addyosmani WDYT?\n","closed",false,"2016-09-21T18:14:45.000Z","2017-01-12T22:13:12.000Z","2016-10-04T18:50:42.000Z",true,false,5,4,4,1,62,0,1,"CHANGES_REQUESTED","Only one item to address.\n","jpmedley"
1020608,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86213933,"[lighthouse] add doc for progressive enhancement audit","@addyosmani WDYT?\n","closed",false,"2016-09-21T18:14:45.000Z","2017-01-12T22:13:12.000Z","2016-10-04T18:50:42.000Z",true,false,5,4,4,1,62,0,1,"COMMENTED","","addyosmani"
1336482,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86444878,"Convert #3471","","closed",false,"2016-09-23T02:22:45.000Z","2016-09-23T14:55:57.000Z","2016-09-23T14:55:51.000Z",true,false,0,2,2,2,91,0,1,"COMMENTED","","petele"
1341702,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86444878,"Convert #3471","","closed",false,"2016-09-23T02:22:45.000Z","2016-09-23T14:55:57.000Z","2016-09-23T14:55:51.000Z",true,false,0,2,2,2,91,0,1,"COMMENTED","","jpmedley"
1375758,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","Sorry for the number of comments.\n\nFeel free to ignore the GCM comments for this PR if you want to leave it as is or do seperately.\n\nOnly other thing to note is that the gif has two '5' steps and it would be awesome if it looped. \n","gauntface"
1388621,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","jpmedley"
1393785,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","Among all of the responses that say, ""Done"" are a few further questions. Can you please answer them.\n","jpmedley"
1572032,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86774863,"Add npm post install script to run gulp build","R: @petele  \n","closed",false,"2016-09-26T16:25:50.000Z","2016-09-28T19:18:24.000Z","2016-09-26T16:40:05.000Z",true,false,0,1,0,1,6,4,2,"APPROVED","","addyosmani"
1585614,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86785054,"Housing case study","","closed",false,"2016-09-26T17:32:16.000Z","2016-10-04T15:02:55.000Z","2016-09-26T17:56:39.000Z",true,,0,2,2,4,65,0,3,"COMMENTED","","jpmedley"
1588894,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86785054,"Housing case study","","closed",false,"2016-09-26T17:32:16.000Z","2016-10-04T15:02:55.000Z","2016-09-26T17:56:39.000Z",true,,0,2,2,4,65,0,3,"COMMENTED","","petele"
